218.61.30.44 - - [06/Jun/2025:07:53:11 +0800] "GET http://mxzgh.com/ HTTP/1.1" 200 1068 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[UKLlT143]
218.61.30.44 - - [06/Jun/2025:07:53:12 +0800] "GET http://mxzgh.com/assets/css/tailwind.min.css HTTP/1.1" 200 305091 "http://mxzgh.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[CLT0]
218.61.30.44 - - [06/Jun/2025:07:53:13 +0800] "GET http://mxzgh.com/favicon.ico HTTP/1.1" 404 983 "http://mxzgh.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[LT0]
218.61.30.44 - - [06/Jun/2025:07:53:20 +0800] "POST http://mxzgh.com/ HTTP/1.1" 302 0 "http://mxzgh.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[ULlT229]
218.61.30.44 - - [06/Jun/2025:07:53:21 +0800] "GET http://mxzgh.com/lobby.php HTTP/1.1" 200 4876 "http://mxzgh.com/" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[UKLlT3]
218.61.30.44 - - [06/Jun/2025:07:53:26 +0800] "POST http://mxzgh.com/lobby.php HTTP/1.1" 302 0 "http://mxzgh.com/lobby.php" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[ULlT3]
218.61.30.44 - - [06/Jun/2025:07:53:26 +0800] "GET http://mxzgh.com/index.php?game_id=1 HTTP/1.1" 200 86200 "http://mxzgh.com/lobby.php" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[UKLlT6]
218.61.30.44 - - [06/Jun/2025:07:53:26 +0800] "GET http://mxzgh.com/assets/js/vue.min.js HTTP/1.1" 200 58679 "http://mxzgh.com/index.php?game_id=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[CLT0]
218.61.30.44 - - [06/Jun/2025:07:53:26 +0800] "GET http://mxzgh.com/view_orders.php?game_id=1&type=public HTTP/1.1" 200 2382 "http://mxzgh.com/index.php?game_id=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[UKLlT3]
218.61.30.44 - - [06/Jun/2025:07:53:27 +0800] "GET http://mxzgh.com/uploads/map_backgrounds/game_1_1747467648.png HTTP/1.1" 200 900455 "http://mxzgh.com/index.php?game_id=1" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/101.0.4951.64 Safari/537.36"[CLT0]
